Method	Dataset	Model	Accuracy	Precision	Recall	F1-score	ROC-AUC	PR-AUC	G-Mean	BAcc
original	yeast1	KNN	0.7392	0.5623	0.436	0.4904	0.755	0.5083	0.612	0.6492
		RandomForest	0.7783	0.665	0.48	0.5553	0.8133	0.6435	0.6561	0.6899
		SVM	0.7568	0.6956	0.291	0.4092	0.7961	0.6142	0.5246	0.6187
	yeast3	KNN	0.9468	0.8119	0.675	0.7362	0.9249	0.7188	0.8133	0.8277
		RandomForest	0.9447	0.787	0.68	0.7275	0.9706	0.8316	0.8134	0.8289
		SVM	0.9515	0.833	0.699	0.7598	0.9755	0.8268	0.8285	0.8408
	yeast4	KNN	0.965	0.4667	0.155	0.2147	0.7944	0.2928	0.3451	0.5741
		RandomForest	0.9677	0.6	0.136	0.2062	0.9206	0.4073	0.3206	0.5668
		SVM	0.9656	0	0	0	0.8532	0.4215	0	0.5
	yeast6	KNN	0.9798	0.6	0.486	0.5281	0.8997	0.5167	0.6801	0.7387
		RandomForest	0.9831	0.7667	0.4	0.5054	0.8997	0.5629	0.6088	0.6986
		SVM	0.9764	0	0	0	0.9003	0.6173	0	0.5
oversampling	yeast1	KNN	0.6894	0.4727	0.6573	0.5498	0.7382	0.4774	0.6791	0.6799
		RandomForest	0.7763	0.6244	0.5734	0.5964	0.812	0.6383	0.7007	0.7161
		SVM	0.7183	0.5098	0.7481	0.6061	0.8003	0.6054	0.7266	0.7271
	yeast3	KNN	0.9131	0.573	0.8525	0.6838	0.9151	0.6105	0.8855	0.8865
		RandomForest	0.9488	0.7556	0.7917	0.7729	0.9666	0.8332	0.8752	0.8799
		SVM	0.9259	0.6151	0.9023	0.7303	0.9709	0.8153	0.9153	0.9156
	yeast4	KNN	0.936	0.27	0.5491	0.3585	0.7934	0.2407	0.7068	0.7494
		RandomForest	0.9663	0.5444	0.1964	0.2624	0.9276	0.4124	0.3781	0.595
		SVM	0.876	0.1779	0.7236	0.2856	0.8987	0.4346	0.7965	0.8025
	yeast6	KNN	0.9589	0.3262	0.7143	0.4477	0.8954	0.3599	0.8233	0.8395
		RandomForest	0.9805	0.5993	0.4857	0.5177	0.889	0.5812	0.6752	0.7391
		SVM	0.9218	0.2134	0.8571	0.3411	0.9397	0.5274	0.887	0.8903
SMOTE	yeast1	KNN	0.6934	0.4783	0.6691	0.5575	0.7447	0.4872	0.6855	0.6862
		RandomForest	0.7642	0.5911	0.6013	0.5952	0.8043	0.6297	0.7059	0.7158
		SVM	0.7028	0.4932	0.7575	0.5965	0.8011	0.607	0.7173	0.719
	yeast3	KNN	0.9164	0.5817	0.8648	0.6944	0.933	0.6695	0.8929	0.8938
		RandomForest	0.9481	0.7363	0.8223	0.7766	0.9666	0.8186	0.8898	0.893
		SVM	0.934	0.6502	0.878	0.7463	0.9715	0.8111	0.9086	0.9095
	yeast4	KNN	0.9036	0.2039	0.6473	0.3077	0.8303	0.2104	0.7571	0.78
		RandomForest	0.9522	0.3516	0.4745	0.3938	0.9107	0.3857	0.6667	0.7219
		SVM	0.8787	0.1839	0.7236	0.2929	0.8993	0.4619	0.798	0.8039
	yeast6	KNN	0.9265	0.2144	0.7714	0.3344	0.9093	0.3032	0.8434	0.8509
		RandomForest	0.9778	0.5167	0.6286	0.5573	0.9183	0.5391	0.7705	0.8074
		SVM	0.9313	0.2293	0.8	0.3549	0.9444	0.5942	0.8606	0.8672
SMOTE+ENN	yeast1	KNN	0.6671	0.457	0.8042	0.5828	0.7481	0.4748	0.7011	0.7078
		RandomForest	0.7109	0.5007	0.7224	0.5903	0.7973	0.6146	0.713	0.7143
		SVM	0.6422	0.4392	0.8577	0.5807	0.7954	0.6105	0.6891	0.7061
	yeast3	KNN	0.9003	0.5288	0.8771	0.659	0.9222	0.6136	0.8897	0.8901
		RandomForest	0.9394	0.6726	0.8837	0.7628	0.9666	0.8096	0.9141	0.915
		SVM	0.9252	0.607	0.9206	0.7312	0.9712	0.8083	0.9231	0.9232
	yeast4	KNN	0.876	0.1826	0.7455	0.2929	0.8424	0.1908	0.8071	0.8131
		RandomForest	0.9205	0.2305	0.5691	0.3253	0.9268	0.3933	0.7208	0.7511
		SVM	0.8497	0.157	0.7618	0.26	0.8951	0.4273	0.8029	0.8073
	yeast6	KNN	0.9036	0.1788	0.8286	0.2925	0.9077	0.253	0.8624	0.867
		RandomForest	0.9676	0.3899	0.6857	0.4941	0.9457	0.5976	0.8056	0.8301
		SVM	0.9205	0.2073	0.8286	0.3305	0.9439	0.6119	0.8724	0.8756
