Dataset,Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,G_Mean,BAcc
yeast1,RF_Baseline,0.7783169533169533,0.6650392587918109,0.4802735978112175,0.5552505705089292,0.8132831737346102,0.6434910422681516,0.6560643299188631,0.6898998320809641
yeast1,XGB_Baseline,0.7648216398216399,0.6122050094209982,0.5151025991792066,0.5569307541759905,0.7847196270771066,0.603434470197594,0.6661569673472298,0.6907266550398403
yeast1,AdaBoost_Baseline,0.7601169351169351,0.629296465573038,0.4219151846785226,0.5044565648611921,0.7878150426929286,0.5759869770208998,0.6151690125433129,0.6597727582160385
yeast1,RF_CostSensitive,0.7890913640913642,0.6979334837697514,0.48251709986320107,0.5688360584580998,0.811396126840464,0.6419922783674464,0.6632372317529667,0.6981305878462926
yeast1,XGB_CostSensitive,0.7560674310674311,0.5764549831704856,0.5989329685362517,0.5860999437464542,0.7859326638183103,0.6011747828603016,0.6997812424897446,0.7094190909031969
yeast1,AdaBoost_CostSensitive,0.6657657657657658,0.4496496458537648,0.6922024623803009,0.5448965029141629,0.6735893828489182,0.40090637298314247,0.672947698807136,0.6735893828489183
yeast4,RF_Baseline,0.9676540176540176,0.6,0.13636363636363638,0.20623543123543123,0.9206071976803685,0.4073355838267111,0.3206295756619338,0.566784435077118
yeast4,XGB_Baseline,0.9629333879333879,0.4502564102564103,0.27636363636363637,0.3240993788819876,0.916504847702187,0.37669742980297416,0.5023943859117027,0.6318978582393215
yeast4,AdaBoost_Baseline,0.9622668122668123,0.35,0.19454545454545455,0.2438888888888889,0.9216692620018563,0.37575706449036766,0.381376724301781,0.5920401549669843
yeast4,RF_CostSensitive,0.964960414960415,0.3333333333333333,0.11636363636363636,0.16547619047619047,0.9269249043639288,0.4298252272256512,0.25723480049552877,0.5557379206159695
yeast4,XGB_CostSensitive,0.9582150332150332,0.42296918767507,0.39454545454545453,0.3932349813928761,0.9107194800764645,0.40526046728789283,0.6065731984402404,0.6864530591359859
yeast4,AdaBoost_CostSensitive,0.8921785421785422,0.20933298056853925,0.7436363636363638,0.32511164198120723,0.9190454999545908,0.23523656881385108,0.8154126726411569,0.8205292268706902
yeast6,RF_Baseline,0.9831490581490581,0.7666666666666667,0.4,0.5053613053613054,0.8997206265873489,0.562942398046621,0.6088258450204762,0.6986183033050948
yeast6,XGB_Baseline,0.9770861770861771,0.5266666666666666,0.48571428571428565,0.49924585218702877,0.9245759967272914,0.5339807823266669,0.6875406650453627,0.7373363219527163
yeast6,AdaBoost_Baseline,0.9831490581490581,0.7,0.48571428571428565,0.5655477855477856,0.9379995568206999,0.554885273895988,0.6836119271206438,0.7404409634036171
yeast6,RF_CostSensitive,0.9838247338247339,0.8666666666666666,0.42857142857142855,0.5304972804972805,0.8965208720404997,0.5907126702714939,0.6350102944461914,0.7129064039408867
yeast6,XGB_CostSensitive,0.9764105014105013,0.49841269841269853,0.5714285714285714,0.5293956043956044,0.9242236691836979,0.5514813580322376,0.7399004184404832,0.7788129612899926
yeast6,AdaBoost_CostSensitive,0.8955614705614707,0.16083333333333333,0.8,0.26546703296703295,0.8971529139038983,0.24413736415758658,0.8373908200837997,0.8489344946903712
